Timestamp,Number of Unique People,Actions
00:00:21,1,['No action detected']
00:00:26,1,['No action detected']
00:00:27,1,['No action detected']
00:00:28,1,['No action detected']
00:00:29,1,['No action detected']
00:00:31,1,['No action detected']
00:00:32,1,['No action detected']
00:00:33,1,['No action detected']
00:00:34,1,['No action detected']
00:00:35,1,['No action detected']
00:00:36,1,['No action detected']
00:00:37,1,['No action detected']
00:00:38,1,['No action detected']
00:00:39,0,['No action detected']
00:00:40,0,['No action detected']
00:00:41,0,['No action detected']
00:00:42,0,['No action detected']
00:00:43,0,['No action detected']
00:00:44,0,['No action detected']
00:00:45,0,['No action detected']
00:00:46,1,['No action detected']
00:00:47,0,['No action detected']
00:00:48,0,['No action detected']
00:00:49,0,['No action detected']
00:00:50,0,['No action detected']
00:00:51,0,['No action detected']
00:00:52,0,['No action detected']
00:00:53,0,['No action detected']
00:00:54,0,['No action detected']
00:00:55,0,['No action detected']
00:00:56,0,['No action detected']
00:00:57,0,['No action detected']
00:00:58,0,['No action detected']
00:00:59,0,['No action detected']
00:01:01,1,['No action detected']
00:01:03,1,['No action detected']
00:01:05,2,['No action detected']
00:01:07,0,['No action detected']
00:01:09,1,['P0 working with Order Screen']
00:01:10,1,['P0 working with Order Screen']
00:01:11,1,['P0 working with Order Screen']
00:01:12,1,['P0 working with Customer Service Window']
00:01:13,1,['P0 working with Cold Drink Station/Customer Service Window']
00:01:14,1,['P0 working with Cold Drink Station']
00:01:15,1,['P0 working with Cold Drink Station/Customer Service Window']
00:01:16,1,['P0 working with Customer Service Window']
00:01:17,1,['P0 working with Customer Service Window']
00:01:18,1,['P0 working with Order Screen']
00:01:19,1,"['No action detected', 'P0 working with Order Screen']"
00:01:20,1,['No action detected']
00:01:21,0,['No action detected']
00:01:22,0,['No action detected']
00:01:23,0,['No action detected']
00:01:24,1,['No action detected']
00:01:25,1,['No action detected']
00:01:27,1,['No action detected']
00:01:28,1,['No action detected']
00:01:29,1,['No action detected']
00:01:30,1,['No action detected']
00:01:31,1,['No action detected']
00:01:32,1,['No action detected']
00:01:33,0,['No action detected']
00:01:34,0,['No action detected']
00:01:35,0,['No action detected']
00:01:37,1,['No action detected']
00:01:38,0,['No action detected']
00:01:39,0,['No action detected']
00:01:40,0,['No action detected']
00:01:41,0,['No action detected']
00:01:42,0,['No action detected']
00:01:43,0,['No action detected']
00:01:44,0,['No action detected']
00:01:45,0,['No action detected']
00:01:46,0,['No action detected']
00:01:47,0,['No action detected']
00:01:48,0,['No action detected']
00:01:49,0,['No action detected']
00:01:50,0,['No action detected']
00:01:51,0,['No action detected']
